a	art.一(个，件，...)
thrust at sb.	用刀，剑等向…猛刺
thrust at somebody	用刀、剑等向…猛刺
thud	n. 砰击声,重击
thumb	n.(大)拇指
thumbscrew	n. 翼形螺钉,拇指夹
thumbtack	n. 按钉，图钉
thump	n. 重打,重击声
thumping	n. 敲击，打击
thunder	n.雷 vi.打雷 vt.吼出
thunderbolt	n. 霹雳,雷电,意外,怒喝
thundercloud	n. 雷云
thunderous	a. 雷声般的
thunderstorm	n. 暴风雨
thunderstruck	a. 惊愕的,吓呆的,遭雷击的
Thursday	n.星期四
thus	ad.如此，这样；因而
thwack	n. 拍地一声打,强打
thwart	v. 阻挠，使…受挫
thyme	n. 麝香草属的植物,百里香
thymus	n. 胸腺
thyroid	a. 甲状腺的,盾状的,甲状软骨的
thyroid gland	甲状腺
tian an men square	天安门广场
tiara	n. (妇女的) 头饰
tibet	n. 西藏
tibetan	adj. 藏族的；n. 藏人
tibia	n. 胫骨,胫节,从前的一种笛
tick	n.滴答声；记号
tick off	列出；用记号勾出
ticket	n.(交通违章)罚款传票
ticket agency	售票代理处
ticket office	售票处
ticket stock	空白机票，末填写的机票
ticket-collector	n. 收票员
ticket-office	n. 售票处，票房
tickle	vt.挠，胳肢；逗乐
tickler	n. 棘手的问题，难题
ticklish	a. 易倒的,不安定的,难对付的,
tidal	a. 潮汐的,定时涨落的
tide	n.潮；潮水
tide over	帮助…度过困苦
tide sb. over	度过难关
tidewater	n. 潮水,受海潮影响的河水,低洼的海岸
tidings	n. 消息
tidy	a.整洁的；整齐的
tidy up	vt. 整理，使整齐
tie	vt.(用绳等)系，栓
tie up	束紧，缚牢；包扎
tied shop	专营店
tie-in-sale	n.搭配销售，搭卖
tier	n. 列,行,等级,层
tie-up	n. (资金)占用，冻结
tiff	v. 吵嘴，呕气； 争执；啜，饮；n. 争执，淡酒
tiger	n.老虎
tight	adv.紧紧地adj.牢固的
tighten	vt.&vi.(使)变紧
tight-fitting	adj. 紧身的
tightly	adv. 紧地；牢固地；紧紧地，紧密地
tigress	n. 母虎,雌虎
tile	n.瓦片，瓷砖；贴砖
tiling	n. 盖瓦；铺瓷砖
till	prep.conj.直到…为止
tillage	n.耕种,耕耘
tiller	n. 耕种者,分蘖
tilt	vt.&vi.(使)倾斜
tilth	n. 耕作,耕作深度,耕地
timber	n.木料；木材
timbre	n. （音乐）音色，音质
timbrel	n. 小手鼓
time	n.时间
time allowed	允往时间，可用时间
time and again	反复；多次
time bill	期票，定期票据
time constraint	时间限制
time deposit	定期存款
time difference	时差
time expired	期满
time wage	计时工资
time-consuming	a. 费时间的
timely	a.及时的；适时的
time-out	n. 暂停
timepiece	n. 时钟,座钟
times	n. 时代；倍；次数
timetable	n.时间表，时刻表
time-table	n. 时刻表；时间表
timetalbe	n.时间表，时刻表；课表
time-waster	n. 浪费时间的人
time-zone	国际时区
timid	a.胆怯的；羞怯的
timid about	胆小，胆怯
timidity	n. 胆小,胆怯,羞怯
timidly	ad. 胆怯地
timing	n. 安排时间
timorous	adj. 胆小的，胆怯的
timothy	n. 牧草之一种
tin	n.锡；罐头
tinct	n. 颜色,色彩
tincture	n. 颜色,色调,染料,气味,特征,
tinder	n. 火绒，火种
tined	adj. 尖端的
tinfoil	n. 锡纸
ting	n. 铃的响声,丁丁声
ting-a-ling	n. 铃声,叮铃,叮当
tinge	v. 给……染色
tingle	vi. 兴奋,激动,感到刺痛,抖动
tinker	n. 修补匠,焊锅
tinkle	n. 清脆的金属音,叮当声
tinny	a.(声音)细弱无力的
tinsel	n. 闪亮的金属片,金属丝,金属箔,
tint	vt. 给...着色；染色
tiny	a.微小的，极小的
tip	n.梢，末端，尖，尖端
tip off	通知，报告
tipple	vt. 不断喝
tipsy	a. 喝醉的,倾斜的
tiptoe	n.脚趾尖 vi.踮起脚
tirade	n. 长篇的攻击性演说
tire	vi.疲劳，累；厌倦
tire of	厌倦；厌
tire out	使精疲力尽；使筋疲力尽
tired	adj.疲劳的，累的
tired of	厌倦，厌烦
tireless	a. 不疲倦的,不厌倦的,不屈不挠的
tiresome	a.使人厌倦的，讨厌的
tissue	n.薄绢；薄纸；组织
tissue-type	组织类型
tissue-typing	组织分类
tit	n. 山雀,轻打,女人,奶头
titan	n. 泰坦神,太阳神,巨人
titanic	adj. 巨人的，力大无比的
titbit	n. 珍品,珍闻
tithe	n. 十分之一之税；小部分
titillate	v. 使觉得痒，使…兴奋，使愉快
title	n.标题，题目；称号
titmouse	n. 山雀类的小鸟
titter	n. 嗤笑,偷笑
tittle	n. 些量,微量,符号,小点,微小
titular	adj. 有名无实的，名义上的
to	prep.到...
to a day	一天也不差
to a turn	正好，恰好
to account for	是…是原因；解释
to and fro	来来回回
to be about	在外面走动
to be alive with	(一地方)充满着(动物)
to be carried away	控制不住自己
to be delighted with	因…而十分高兴
to be fed up with	感到厌倦
to be from...	来自；生长于，出身于
to be going to do sth	打算做某事
to be inclined to	倾向于这样看
to be keen on	非常爱好
to be mixed up	变得很乱
to be nasty about	对某事故意刁难
to be on tour	在旅行；在巡回演出
to be safe from...	没有受…袭击的危险
to be scared of	害怕
to be sold out	售完
to be sure of	肯定，肯定能得到
to be taken aback	吃了一惊
to be used to	习惯于
to be worn out	破旧
to begin with	首先，第一
to book seats	订票
to break into	冲进
to break into a run	拔脚起奔
to break through	冲破
to break up...into	拆散，分解成
to break with	与…决裂
to burst out	冲口说出；冲口而出
to burst upon	突然来(想)到
to call...to arms	号召…拿起武器
to care about	关心
to care for	喜欢；感兴趣
to carry away	动人心弦
to catch one out	发现某人犯错误
to catch sight of	突然看见
to catch up	赶上
to clear up	澄清
to come in sight	看得见了；出现在面前
to come into being	产生
to come on the scene	出现
to come one's way	发生在某人身上
to come upon	(偶然地)见到
to count the cost	计算代价
to date	到此为止
to deal with	应付；处理；对付；处理
to do a good job	把一件工作做好
to do through	彻底修整(房屋)
to drag on	拖累
to draw sb. out	引…说话，表态
to drink in	吸收
to earn the name of	赢得…的名声
to experiment on	用…做实验
to fall ill	染病；病例
to feed on	以…为食
to feel certain that	觉得…肯定
to fit evenly into	正巧能合上(不多不少)
to flare up	发怒
to get down to	定下心来做一件事
to get in touch with	与…取得联系
to get into debt	负债
to get on well	进行得很顺利
to get to	终于
to get...right	把(某事)做对
to give off...	放出
to give rise to	引起，使…发生
to give up	放弃
to give way to	被…代替
to go by	遵循；以为依据
to go on foot	步行
to go through	做完
to go without	省而不用
to hang about	徘徊，走来走去
to have in mind	心中所想的是
to have no regret	不懊悔
to have one's way	按他自己的意思行事
to hold one's breath	憋住气，屏气
to hold out	坚持；不妥协
to hold water	(指论点)周密，没漏洞
to keep time	计时
to lay out	设计；计划，筹划
to leave out	省去
to live on	靠吃…生活
to look out for	等候
to lose one's senses	糊涂了
to make entries in	在笔记本里登记事项
to make out	领悟，明白
to make progress	有进步，取得进步
to make sure	调查确实
to make up for	补偿
to make...clear	说明，讲清楚
to make...of...	以…为材料制作
to meet a difficulty	对付困难
to move on	继续向前走
to one's joy	使某人高兴的是
to one's surprise	使某人惊奇的是；使…感到惊奇
to out of place	不恰当，不适宜的
to owe...to	归功于
to pay attention	(给予)注意
to pay cash for	付现金；现钱购买
to pay off	还
to pay the bill	付帐
to play a part	(在…中)起作用
to play class three	与第三班比赛
to play truant	逃学
to point out	指出
to present...to	向…提出
to put a person off	使改变主意
to put in a word for	为…说句好话
to put up with	容忍；忍受
to reckon up	计算(得出总数)
to run one in	(把某人)逮捕入狱
to say nothing of	更不必说
to search through...	遍寻，查遍
to seek after	追求
to set about	着手，开始
to set sail	起航
to set upon	袭击
to set...on fire	点火，烧
to show sign of	有…的迹象
to some extent	在某种程度上
to speak for itself	最雄辩地证明
to speak of	值得一提的
to spread out	散开
to stay put	耽着不走开
to stir up trouble	煽动是非；挑起麻烦
to sum up	总而言之，总之；总结
to take care of	管；负责
to take hold of	抓住
to take pains	努力；尽力
to take to	喜欢，亲近(人)
to the contrary	意思相反的(地)
to the day	一天也不差，恰好
to the effect that	大意是说
to the end of time	永远
to the full	完全地；彻底地
to the life	逼真地，维妙维肖
to the limit	到顶点，到最大限度
to the number of	合计数为…
to the point	中肯；扼要；切题
to the question	针对所讨论的问题
to the relief of	令人安心；使…感到宽慰
to the zoo	去动物园
to this day	直到今天
to turn down	拒绝
to turn off	关上(电灯，龙头等)
to turn on	开(电灯，龙头等)
to turn out	原来；后来证明
to watch out for	注意
to win over	争取过来
to wipe out	消灭
toad	n.蟾蜍，癞蛤蟆
toadstool	n. 伞菌
toady	n. 谄媚者，马屁精
toast	n.烤面包 vt.烘，烤
toaster	n. 烤面包器
tobacco	n.烟草，烟叶
tobacconist	n. 烟草商
toboggan	n.平底雪橇
tocsin	n. 警钟（的声音），警报
tod	托德(男名)
today	ad.在今天；现在
toddle	vi. 东倒西歪地走,蹒跚学步,散步
toe	n.脚趾，足尖
toga	n. 宽外袍,参议员的职位
together	ad.共同，一起
together with	和；加之；连同
toggle	n. & v. 触发器；系紧
toil	n./v. 辛苦，辛勤劳作
toiler	n. 辛苦工作的人,劳动者
toilet	n.厕所，盥洗室，浴室
toilsome	a. 费力的,辛苦的,劳苦的
token	n.象征；辅币；纪念品
tokyo	n. 东京(日本首都)
told	vt. tell(告诉)的过去式和过去分词
tolerable	a. 可容忍的,可以的
tolerance	n.忍受，容忍；公差
tolerance for	忍耐，容忍
tolerant	a.容忍的；有耐力的
tolerate	vt.忍受，容忍，宽恕
toleration	n. 宽容,默认,宗教自由
toll	n. 通行费,代价,钟声
toll gate	n. (征收路税之)关卡
tolstoy	托尔斯泰(俄国小说家)
tom	汤姆(男名)
tom grade	汤姆·格雷特(男名)
Tom Sawyer	汤姆.索耶
tomahawk	n. 战斧,钺
tomato	n.番茄，西红柿
tomatoes	西红柿
tomb	n.坟墓
tombstone	n. 墓石,墓碑
tome	n. 册,卷,大型书本
tomfoolery	n. 愚蠢举动(言语)
tomorrow	ad.在明天 n.明天
ton	n.吨(重量单位)
tonality	n. 音质，音调
tone	n.色调，光度；风气
toneless	a.单调的，沉闷的
tongs	n. 夹子，钳子
tongue	n.舌头；语言；口语
tongueless	a. 没有舌头的,缄默的,哑的
tonic	n. 增进健康之物，补品
tonight	ad.在今夜 n.今夜
tonnage	n. 登记吨位,排水量
tonne	n. 公吨
tonsil	n. 扁桃腺
tonsillitis	n. 扁桃腺炎
tonsure	n. 剃发,剃去头发的部分,削发式
too	adv.也
too...to	太…而不能
too...to...	太…而不能…；太…以致不能…
took	vt. take(拿)的过去式
tool	n.工具；用具
toolbox	n.工具箱
toot	n. 嘟嘟声,酒宴
tooth	n.牙齿
toothache	n. 牙痛
toothbrush	n. 牙刷
toothpaste	n. 牙膏
toothpick	n. 牙签
top	n.顶；首位 a.顶的
topaz	n. 黄晶，黄玉
topic	n.(文章的)题目；主题
topical	a. 论题的,题目的时事问题的,局部的
topmast	n. 中桅
topmost	a. 最高的,顶端的
topographical	adj. 地形学的
topography	n. 地形学，地形
topple	v. 倾覆，推倒
topsail	n. 上桅帆
topsoil	n. 表层土
topsy-turvy	ad. 颠倒地,相反地,乱七八糟地
torch	n.火炬，火把；手电筒
torchlight	n. 火炬之光
tore	vt. tear(撕)的过去式
toreador	n.  骑马斗牛士
torment	n.痛苦 vt.折磨
tormentor	n. 使苦痛之人,使苦恼之物,长肉叉
torn	v. tear(撕、扯)的过去分词
tornado	n. 飓风，龙卷风
toronto	n. 多伦多(加拿大城市)
torpedo	n.鱼雷，水雷
torpid	adj. 懒散的，死气沉沉的
torpor	n. 有气无力，死气沉沉
torque	n. 转(力)矩，扭(力)矩；项圈；火炬，火把；(英)手电筒
torrent	n.奔流，激流，洪流
torrential	a. 奔流的，急流的，激烈的
torrents	n. 倾注
torrid	adj. 酷热的
torrid zone	热带
torso	n. （人体的）躯干，躯干像
tort	n. 民事侵权行为
tortilla	 n. 一种圆形的玉米薄饼
tortoise	n.龟，乌龟
tortoiseshell	n. 龟甲；玳瑁壳
tortuous	adj. 弯弯曲曲的，蜿蜒的
torture	n.拷问；折磨 vt.拷打
tory	n. & a. 保守党党员(的)
toss	vi.翻来复去
tot	n. 小孩,少量,合计
total	adj.总的 n.合计
total cost	总费用，总支出
total up	合计
totalitarian	adj. 极权主义的
totality	n. 全部，总数
totally	adv. 统统，完全地；全部地
totem	n. 图腾，崇拜物
totter	v. 摇摇欲坠，步伐蹒跚
touch	vt.触摸；接触
touch at	停靠
touch off	开(炮等)；触发
touch on	关系到，涉及到；谈到，论及
touch up	润色(图画、文章等)；修改，改进
touch upon	简要地提到
touchable	可触知的
touchdown	n. 触地,触地得分,着地,降落
touching	prep. 提到；a. 动人的，感人的
touch-me-not	含羞草
touchstone	n. 试金石,标准
touchy	adj. 敏感的，易发脾气的
tough	a.坚韧的；健壮的
tough-looking	a. 丑恶的
toupee	n. 男用假发
tour	n.&vi.旅行，游历
tourism	n. 旅游业；旅游，观光
tourist	n.旅游者，观光者
Tourist Board	旅游委员会
tourist coach	游览车
tourist resort	旅游胜地
tournament	n. 比赛，（旧时）骑士比武大会
tourney	n. 比赛,竞赛,锦标赛
tourniquet	n. 止血带
tousle	v. 弄乱(头发)
tout	推销，招徕，兜售，招徕业务者；v. 招徕顾客，极力赞扬
tow	vt.&n.拖引，牵引
toward	prep. 向,对于,为了
towards	prep. 向，朝；对于；朝着；走向，近…；为了，有助于
towel	n.毛巾，手巾
tower	n.塔
towering	adj. 高耸的；强烈的；耸立的，杰出的
town	n.镇，市镇，城镇
town hall	n. 市政厅
town-folk	n. 镇上的人
township	n. 镇区
townsman	n.市民
toxic	adj. 有毒的；中毒的
toxin	n. 毒素，毒质
toxoid	n. 类毒素
toy	n.玩具，玩物
toy animal	n. 玩具动物
trace	n.痕迹；丝毫 vt.跟踪
trace back to	追溯到
tracer	n. 追踪者,描图者,誊写员
tracery	n. 细纹构成之图样,花饰窗格,窗饰
trachea	n. 气管,导管,螺旋纹管
tracheitis	n. 气管炎
tracheobronchial	adj. 气管，支气管的
track	n.足迹；(火车的)轨道
